CallerType,CallerMethod,CueValue,CueName,VoiceMethodCalled,ILOffset
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,856
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1116
FriendBattleResultMonitor,DoGemResult,1,VO_000002,Animator.Play,1116
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1253
FriendBattleResultMonitor,DoGemResult,1,VO_000002,Animator.Play,1253
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1253
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1275
FriendBattleResultMonitor,DoGemResult,1,VO_000002,Animator.Play,1610
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1610
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1610
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1661
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1816
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1838
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1882
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,1991
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,2339
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,2406
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,2406
FriendBattleResultMonitor,DoGemResult,1,VO_000002,Animator.Play,2524
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,2524
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,2524
FriendBattleResultMonitor,DoGemResult,0,VO_000001,Animator.Play,2524
FriendBattleResultMonitor,DoGemResult,2,VO_000003,NavigationCharacter.Play,2584
FriendBattleResultMonitor,DoBoss,3,VO_000004,NavigationCharacter.Play,69
FriendBattleResultMonitor,DoBoss,7,VO_000008,Animator.Play,91
FriendBattleResultMonitor,DoBoss,0,VO_000001,Animator.Play,91
FriendBattleResultMonitor,DoBoss,7,VO_000008,Animator.Play,113
FriendBattleResultMonitor,DoBoss,0,VO_000001,Animator.Play,113
FriendBattleResultMonitor,DoBoss,0,VO_000001,Animator.Play,135
FriendBattleResultMonitor,DoBoss,0,VO_000001,Animator.Play,157
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,95
FriendBattleResultMonitor,DoLegend,2,VO_000003,NavigationCharacter.Play,129
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,151
FriendBattleResultMonitor,DoLegend,30,VO_000031,Animator.Play,279
FriendBattleResultMonitor,DoLegend,7,VO_000008,Animator.Play,279
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,279
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,301
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,400
FriendBattleResultMonitor,DoLegend,7,VO_000008,Animator.Play,460
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,460
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,520
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,603
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,603
FriendBattleResultMonitor,DoLegend,2,VO_000003,Animator.Play,636
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,636
FriendBattleResultMonitor,DoLegend,0,VO_000001,Animator.Play,636
FriendBattleResultMonitor,PlayUnlockInfo,52,VO_000053,SoundManager.PlaySE,72
FriendBattleResultMonitor,PlayReliefInfo,52,VO_000053,SoundManager.PlaySE,72
FriendBattleResultMonitor,<DoGemResult>b__106_0,0,VO_000001,Animator.Play,89
FriendBattleResultMonitor,<DoGemResult>b__106_1,1,VO_000002,Animator.Play,31
FriendBattleResultMonitor,<DoGemResult>b__106_1,7,VO_000008,Animator.Play,31
FriendBattleResultMonitor,<DoGemResult>b__106_1,0,VO_000001,Animator.Play,31
FriendBattleResultMonitor,<DoGemResult>b__106_1,0,VO_000001,Animator.Play,53
FriendBattleResultMonitor,<DoGemResult>b__106_1,0,VO_000001,Animator.Play,210
FriendBattleResultMonitor,<DoGemResult>b__106_2,0,VO_000001,Animator.Play,65
FriendBattleResultMonitor,<DoGemResult>b__106_3,7,VO_000008,Animator.Play,42
FriendBattleResultMonitor,<DoGemResult>b__106_3,0,VO_000001,Animator.Play,42
FriendBattleResultMonitor,<DoGemResult>b__106_5,7,VO_000008,Animator.Play,17
FriendBattleResultMonitor,<DoGemResult>b__106_5,0,VO_000001,Animator.Play,17
GemPedestalController,GemGenerate,0,VO_000001,Animator.Play,75
GemPedestalController,SetGemActivate,0,VO_000001,Animator.Play,37
GemPedestalController,SetGemActivate,0,VO_000001,Animator.Play,37
GemPedestalController,ClassUp,0,VO_000001,Animator.Play,26
GemPedestalController,ClassUp,0,VO_000001,Animator.Play,26
GemPedestalController+<GemGetCoroutine>d__12,MoveNext,0,VO_000001,Animator.Play,65
GemPedestalController+<GemGetCoroutine>d__12,MoveNext,0,VO_000001,Animator.Play,149
CharaAwakeWindow,Skip,0,VO_000001,Animator.Play,36
CharaParts,PlayReincarnationFirstTime,0,VO_000001,RebornStarController.PlayAnimation,14
CharaParts,PlayReincarnation,1,VO_000002,RebornStarController.PlayAnimation,7
CharaParts,SetVisibleDecorate,0,VO_000001,Animator.Play,51
CharaParts,SetVisibleDecorate,0,VO_000001,Animator.Play,79
CharaParts,PlayJoinParty,7,VO_000008,Animator.Play,32
CharaParts,PlayJoinParty,7,VO_000008,Animator.Play,33
DendouInfoWindow,Update,0,VO_000001,Animator.Play,87
DendouInfoWindow,Update,1,VO_000002,Animator.Play,87
DendouInfoWindow,Update,0,VO_000001,Animator.Play,87
EventWindowBase,Play,7,VO_000008,Animator.Play,31
EventWindowBase,Play,0,VO_000001,Animator.Play,31
EventWindowBase,Play2,0,VO_000001,Animator.Play,31
EventWindowBase,Skip,1,VO_000002,Animator.Play,32
EventWindowBase,Skip,0,VO_000001,Animator.Play,32
UnlockMusicWindow,Play,0,VO_000001,Animator.Play,31
UnlockMusicWindow,Skip,1,VO_000002,Animator.Play,32
UnlockMusicWindow,Skip,0,VO_000001,Animator.Play,32
AwakeCenterIcon,OnCenterIn,0,VO_000001,Animator.Play,81
AwakeCenterIcon,OnCenterIn,0,VO_000001,Animator.Play,127
AwakeCenterIcon,AwakeStar,0,VO_000001,Animator.Play,96
AwakeCenterIcon,AwakeStar,0,VO_000001,Animator.Play,128
AwakeIcon,OnCenterIn,0,VO_000001,Animator.Play,115
AwakeIcon,OnCenterIn,0,VO_000001,Animator.Play,161
AwakeIcon,AwakeStar,0,VO_000001,Animator.Play,51
AwakeIcon,AwakeStar,0,VO_000001,Animator.Play,106
PassTicketStatus,FadeIn,7,VO_000008,Animator.Play,19
Trial2pInfo,FadeIn,7,VO_000008,Animator.Play,55
TrialInfo,FadeIn,7,VO_000008,Animator.Play,31
UtageEqualizerUnit,SetVolume,0,VO_000001,Animator.Play,14
UtageEqualizerUnit,ResetVolume,0,VO_000001,Animator.Play,18
AnimationParts,Play,0,VO_000001,Animator.Play,52
AnimationParts,Play,0,VO_000001,Animator.Play,27
NameEntryAnimationController,PrepareAnimation,4,VO_000005,AnimationParts.Play,27
NameEntryAnimationController,StartAnimation,7,VO_000008,AnimationParts.Play,44
NameEntryAnimationController,StartAnimation,0,VO_000001,AnimationParts.Play,44
NameEntryAnimationController,InSecond,7,VO_000008,AnimationParts.Play,31
NameEntryAnimationController,InSecond,7,VO_000008,AnimationParts.Play,47
NameEntryAnimationController,InSecond,7,VO_000008,AnimationParts.Play,76
NameEntryAnimationController,InSecond,0,VO_000001,AnimationParts.Play,76
NameEntryAnimationController,InEnd,7,VO_000008,AnimationParts.Play,29
NameEntryAnimationController,InEnd,0,VO_000001,AnimationParts.Play,29
NameEntryAnimationController,Out,0,VO_000001,AnimationParts.Play,128
NameEntryMonitor,Input2Confirm,17,VO_000018,SoundManager.PlayVoice,8
NameEntryMonitor,GotoCompleted,18,VO_000019,SoundManager.PlayVoice,61
PlayerNameInfo,ScrollLeft,1,VO_000002,PlayerNameInfo.GetCurrentListNum,15
ResultCardBaseController,ChangeStamp,0,VO_000001,Animator.Play,36
RegionalDiscover,Next,65,VO_000066,SoundManager.PlayVoice,128
RegionalSelectMonitor,Initialize,0,VO_000001,Animator.Play,140
RegionalSelectMonitor,Play,0,VO_000001,Animator.Play,22
RegionalSelectMonitor,SetEventBanner,0,VO_000001,Animator.Play,52
RegionalSelectMonitor,SetActiveEventBanner,0,VO_000001,Animator.Play,61
RegionalSelectMonitor,PushEventBanner,0,VO_000001,Animator.Play,22
BaloonMessage,Play,0,VO_000001,Animator.Play,31
NamePlateWindow,Play,0,VO_000001,Animator.Play,18
NamePlateWindow,Skip,0,VO_000001,Animator.Play,54
RegionalInfoDisplay,SetData,0,VO_000001,Animator.Play,22
RegionalSelectButtonController,SetActiveToggleButton,1,VO_000002,Animator.Play,69
RegionalSelectButtonController,SetActiveToggleButton,0,VO_000001,Animator.Play,69
RegionalSelectButtonController,SwtchToggle,1,VO_000002,Animator.Play,69
RegionalSelectButtonController,SwtchToggle,0,VO_000001,Animator.Play,69
KOP_ResultWindow,PlayFadeIn,1,VO_000002,TimeControlBaseObject.OnBehaviourPlay,49
KOP_ResultWindow,PlayFadeIn,0,VO_000001,Animator.Play,76
KOP_ResultWindow,PlayFadeOut,1,VO_000002,Animator.Play,50
KOP_ResultWindow,PlayFadeOut,0,VO_000001,Animator.Play,50
KOP_ResultWindow,ViewUpdate,0,VO_000001,Animator.Play,104
KOP_ResultWindow,ViewUpdate,0,VO_000001,SoundManager.PlayLoopSE,121
KOP_ResultWindow,ViewUpdate,0,VO_000001,Animator.Play,240
ResultTimelineManager,ViewUpdate,1,VO_000002,PlayableDirector.get_time,106
ResultTimelineManager,Play,1,VO_000002,PlayableDirector.RebuildGraph,13
ResultTimelineManager,Skip,1,VO_000002,PlayableDirector.get_duration,19
ResultTimelineManager,Interpretation,0,VO_000001,AnimationPlayableAsset.set_clip,2424
ResultTimelineManager,Interpretation,2,VO_000003,AnimationPlayableAsset.set_clip,2512
ResultTimelineManager,Interpretation,1,VO_000002,AnimationPlayableAsset.set_clip,2512
ResultTimelineManager,Interpretation,5,VO_000006,AnimationPlayableAsset.set_clip,2780
ResultTimelineManager,Interpretation,7,VO_000008,AnimationPlayableAsset.set_clip,2880
ResultTimelineManager,Interpretation,6,VO_000007,AnimationPlayableAsset.set_clip,2880
ResultTimelineManager,BindTimeline,0,VO_000001,PlayableDirector.SetGenericBinding,1010
ResultTimelineManager,BindTimeline,1,VO_000002,PlayableDirector.SetGenericBinding,1107
ResultTimelineManager,BindTimeline,0,VO_000001,PlayableBinding.get_sourceObject,1682
ResultTimelineManager,BindTimeline,0,VO_000001,PlayableDirector.SetGenericBinding,1713
ResultTimelineManager,BindTimeline,1,VO_000002,PlayableBinding.get_sourceObject,1763
ResultTimelineManager,BindTimeline,1,VO_000002,PlayableDirector.SetGenericBinding,1794
ResultTimelineManager,BindTimeline,2,VO_000003,PlayableBinding.get_sourceObject,1841
ResultTimelineManager,BindTimeline,2,VO_000003,PlayableDirector.SetGenericBinding,1872
ResultTimelineManager,BindTimeline,3,VO_000004,PlayableBinding.get_sourceObject,1913
ResultTimelineManager,BindTimeline,3,VO_000004,PlayableDirector.SetGenericBinding,1944
PhotographingController+<SetMenu2FrameSelectCoroutine>d__62,MoveNext,0,VO_000001,SelectorBackgroundController.Play,97
PhotographingController+<SetMenu2FrameSelectCoroutine>d__62,MoveNext,3,VO_000004,SelectorBackgroundController.Play,209
SimpleSettingMonitor,Initialize,0,VO_000001,Animator.Play,280
SimpleSettingMonitor,Initialize,0,VO_000001,Animator.Play,307
SimpleSettingMonitor,SetAdjust2Menu,0,VO_000001,Animator.Play,135
SimpleSettingMonitor,SetAdjust2Menu,0,VO_000001,Animator.Play,162
SimpleSettingMonitor,SetCodeReadToggleButton,0,VO_000001,Animator.Play,68
SimpleSettingMonitor,SetPhotoAgreesToggleButton,0,VO_000001,Animator.Play,44
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,0,VO_000001,Animator.Play,130
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,1,VO_000002,NavigationCharacter.Play,226
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,273,VO_000248,SoundManager.PlayVoice,269
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,0,VO_000001,Animator.Play,364
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,25,VO_000026,SoundManager.PlayVoice,404
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,0,VO_000001,Animator.Play,642
SimpleSettingMonitor+<PlayCoroutine>d__37,MoveNext,0,VO_000001,Animator.Play,740
SimpleSettingMonitor+<SetMenu2ContractCoroutine>d__52,MoveNext,0,VO_000001,Animator.Play,149
SimpleSettingMonitor+<SetMenu2ContractCoroutine>d__52,MoveNext,0,VO_000001,Animator.Play,176
SimpleSettingMonitor+<SetMenu2ContractCoroutine>d__52,MoveNext,0,VO_000001,Animator.Play,565
SimpleSettingMonitor+<SetMenu2ContractCoroutine>d__52,MoveNext,0,VO_000001,Animator.Play,592
SimpleSettingMonitor+<FrameSelectCoroutine>d__54,MoveNext,0,VO_000001,Animator.Play,217
SimpleSettingMonitor+<FrameSelectCoroutine>d__54,MoveNext,0,VO_000001,Animator.Play,244
SimpleSettingMonitor+<FrameSelectCoroutine>d__54,MoveNext,0,VO_000001,Animator.Play,510
SimpleSettingMonitor+<FrameSelectCoroutine>d__54,MoveNext,0,VO_000001,Animator.Play,537
TicketDisplay,Animation,7,VO_000008,Animator.Play,26
TicketDisplay,Animation,0,VO_000001,Animator.Play,26
TicketDisplay,Animation,0,VO_000001,Animator.Play,49
CourseTrackStart+<PlayAnimCoroutine>d__22,MoveNext,1,VO_000002,Animator.Play,102
TimelineRoot,Initialise,1,VO_000002,MusicData.get_utagePlayStyle,79
NaviCharaDebugView,UpdateNaviChara,0,VO_000001,NavigationCharacter.Play,170
CollectionProcess,OnStart,162,VO_000163,SoundManager.PlayVoice,943
CollectionProcess,OnUpdate,14,VO_000015,SoundManager.PlayVoice,236
CollectionProcess,OnUpdate,226,VO_000227,SoundManager.PlayVoice,236
CollectionProcess,OnUpdate,155,VO_000156,SoundManager.PlayVoice,250
CollectionProcess,InputInformationSequence,155,VO_000156,SoundManager.PlayVoice,119
CollectionProcess,GotoNextProcess,0,VO_000001,SoundManager.SetPartnerVoiceCueUserEquiped,56
CollectionProcess,InputFrameSequence,240,VO_000241,SoundManager.PlaySE,507
CollectionProcess,InputIconSequence,240,VO_000241,SoundManager.PlaySE,521
CollectionProcess,InputNamePlateSequence,240,VO_000241,SoundManager.PlaySE,507
CollectionProcess,InputPartnerSequence,67,VO_000251,SoundManager.PlayPartnerVoice,509
CollectionProcess,InitializePartnerPresent,0,VO_000001,CollectionProcess.PlayPartnerRoomEntryVoice,75
CollectionProcess,TouchProcess,68,VO_000252,SoundManager.PlayPartnerVoice,118
CollectionProcess,InputTitleSequence,240,VO_000241,SoundManager.PlaySE,507
FriendBattleResultProcess,UpdateInput,240,VO_000241,SoundManager.PlaySE,141
FriendBattleResultProcess,UpdateInput,240,VO_000241,SoundManager.PlaySE,202
FriendBattleResultProcess,PlayStart,0,VO_000001,FriendBattleResultMonitor.Play,31
FriendBattleResultProcess,PlayStart,1,VO_000002,FriendBattleResultMonitor.Play,31
KaleidxScopeFadeState+FadeIn,OnEnter,0,VO_000001,KaleidxScopeFadeController.PlayAnimation,176
KaleidxScopeFadeState+FadeIn,OnEnter,0,VO_000001,KaleidxScopeSubFadeController.PlayAnimation,244
KaleidxScopeFadeState+FadeOut,OnEnter,1,VO_000002,KaleidxScopeSubFadeController.PlayAnimation,58
KaleidxScopeSelectDifficultyState+Update,OnEnter,0,VO_000001,KaleidxScopeDifficultyGateController.PlayAnimation,319
KaleidxScopeSelectDifficultyState+Update,OnEnter,0,VO_000001,KaleidxScopeMessageInfoController.PlayAnimation,352
KaleidxScopeSelectDifficultyState+Update,OnExit,1,VO_000002,KaleidxScopeDifficultyGateController.PlayAnimation,37
KaleidxScopeSelectDifficultyState+Update,OnExit,1,VO_000002,KaleidxScopeMessageInfoController.PlayAnimation,49
KaleidxScopeSelectDifficultyState+FirstTimeInformation,OnEnter,0,VO_000001,KaleidxScopeFirstInfoController.PlayAnimation,88
KaleidxScopeSelectDifficultyState+FirstTimeInformation,OnUpdateInput,1,VO_000002,KaleidxScopeFirstInfoController.PlayAnimation,99
KaleidxScopeSelectDifficultyState+FirstTimeInformation,OnUpdate,1,VO_000002,KaleidxScopeFirstInfoController.PlayAnimation,177
KaleidxScopeState+FadeIn,SetCenterTitleUI,1,VO_000002,KaleidxScopeCenterTitleController.PlayAnimation,11
KaleidxScopeState+FadeIn,SetCenterTitleUI,0,VO_000001,KaleidxScopeCenterTitleController.PlayAnimation,11
KaleidxScopeState+FadeIn,SetCenterTitleUI,1,VO_000002,KaleidxScopeCenterTitleController.PlayAnimation,19
KaleidxScopeState+FadeIn,SetCenterTitleUI,0,VO_000001,KaleidxScopeCenterTitleController.PlayAnimation,27
KaleidxScopeState+CourseSelectIn,OnEnter,0,VO_000001,KaleidxScopeCourseSelectAnimController.PlayAnimation,37
KaleidxScopeState+CourseSelectIn,OnEnter,0,VO_000001,KaleidxScopeManager.PlayBGMUserKaleidxScopePhase,144
KaleidxScopeState+Update,OnUpdate,1,VO_000002,Update.PlayTouchGateSE,334
KaleidxScopeState+ConfirmWindow,OnUpdate,1,VO_000002,ConfirmWindow.PlayGateConfirmAnim,108
KaleidxScopeState+ConfirmWindow,OnUpdate,2,VO_000003,ConfirmWindow.PlayTouchCancelGateAnim,179
KaleidxScopeState+ConfirmWindow,OnUpdate,2,VO_000003,ConfirmWindow.PlayTouchCancelGateAnim,179
KaleidxScopeState+ConfirmWindow,HideWindow,1,VO_000002,KaleidxScopeDialog.PlayAnimation,45
KaleidxScopeState+ConfirmWindow,HideWindow,1,VO_000002,KaleidxScopeDialog.PlayAnimation,45
KaleidxScopeTotalResultState+Update,OnEnter,0,VO_000001,KaleidxScopeTotalResultController.PlayAnimation,231
KaleidxScopeTotalResultState+Update,OnEnter,1,VO_000002,KaleidxScopeTotalResultController.PlayAnimation,231
KaleidxScopeTotalResultState+Update,OnEnter,3,VO_000004,KaleidxScopeTotalResultController.PlayAnimation,251
KaleidxScopeTotalResultState+Update,OnEnter,0,VO_000001,KaleidxScopeTotalResultController.PlayAnimation,251
KaleidxScopeTotalResultState+Update,OnEnter,0,VO_000001,KaleidxScopeTotalResultController.PlayLifeAnimation,276
KaleidxScopeTotalResultState+Update,OnEnter,1,VO_000002,KaleidxScopeManager.PlayBGMUserKaleidxScopePhase,1241
KaleidxScopeTotalResultState+UnlockMusic,OnEnter,52,VO_000053,SoundManager.PlaySE,252
KaleidxScopeUnlockCourseState+GetWindow,OnUpdateInput,1,VO_000002,KaleidxScopeDialog.PlayAnimation,78
KaleidxScopeUnlockCourseState+GetWindow,OnUpdate,0,VO_000001,KaleidxScopeDialog.PlayAnimation,192
KaleidxScopeUnlockCourseState+GetWindow,OnUpdate,1,VO_000002,KaleidxScopeDialog.PlayAnimation,398
KaleidxScopeUnlockKeyState+GetKey,OnUpdateInput,1,VO_000002,KaleidxScopeDialog.PlayAnimation,78
KaleidxScopeUnlockKeyState+GetKey,OnUpdate,0,VO_000001,KaleidxScopeDialog.PlayAnimation,178
KaleidxScopeUnlockKeyState+GetKey,OnUpdate,1,VO_000002,KaleidxScopeDialog.PlayAnimation,384
KaleidxScopeUnlockState,SetCenterTitleUi,1,VO_000002,KaleidxScopeCenterTitleController.PlayAnimation,11
KaleidxScopeUnlockState,SetCenterTitleUi,0,VO_000001,KaleidxScopeCenterTitleController.PlayAnimation,11
KaleidxScopeUnlockState,SetCenterTitleUi,1,VO_000002,KaleidxScopeCenterTitleController.PlayAnimation,19
KaleidxScopeUnlockState,SetCenterTitleUi,0,VO_000001,KaleidxScopeCenterTitleController.PlayAnimation,27
KaleidxScopeUnlockState+Information,OnEnter,0,VO_000001,KaleidxScopeDialogGetFragment.PlayAnimation,96
KaleidxScopeUnlockState+Information,OnUpdate,1,VO_000002,KaleidxScopeDialogGetFragment.PlayAnimation,97
KaleidxScopeUnlockState+GetMasterKey,OnUpdate,17,VO_000018,KaleidxScopeCenterTitleController.PlayAnimation,100
KaleidxScopeUnlockState+GetMasterKey,OnUpdate,0,VO_000001,KaleidxScopeDialogGetFragment.PlayAnimation,228
KaleidxScopeUnlockState+GetMasterKey,OnUpdate,1,VO_000002,KaleidxScopeDialogGetFragment.PlayAnimation,441
KaleidxScopeUnlockState+AdditionalAnnouncement,OnUpdate,0,VO_000001,KaleidxScopeDialog.PlayAnimation,110
KaleidxScopeUnlockState+AdditionalAnnouncement,OnExit,1,VO_000002,KaleidxScopeDialog.PlayAnimation,45
NameEntryProcess,InitializeDetail,1,VO_000002,PlayerNameInfo.Initialize,43
NameEntryProcess,InitializeDetail,8,VO_000009,PlayerNameInfo.get_NameFieldIndex,225
NameEntryProcess,InitializeDetail,1,VO_000002,PlayerNameInfo.set_IsFieldEnd,266
NameEntryProcess,OnUpdate,0,VO_000001,SoundManager.PlayVoice,67
NameEntryProcess,OnUpdate,16,VO_000017,SoundManager.PlayVoice,67
NameEntryProcess,DetailInput,1,VO_000002,PlayerNameInfo.get_NameFieldIndex,519
NameEntryProcess,DetailInput,8,VO_000009,PlayerNameInfo.get_NameFieldIndex,519
NameEntryProcess,DetailInput,1,VO_000002,PlayerNameInfo.set_NameFieldIndex,528
NameEntryProcess,DetailInput,1,VO_000002,PlayerNameInfo.set_IsFieldEnd,591
